feeding_phase_id,requirement_set_id,nutrient_id,requirement_min,requirement_max,unit_id,basis,source,min_strictness,max_strictness
nursery_p1,NRC2012_swine,ne_swine,2450,,kcal_kg,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_lys,1.35,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_met,0.38,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_mc,0.76,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_thr,0.86,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_trp,0.24,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_ile,0.73,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sid_val,0.89,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,ca,0.80,1.00,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,sttd_p,0.45,,pct,as_fed,NRC2012,hard,hard
nursery_p1,NRC2012_swine,na,0.25,0.50,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,ne_swine,2450,,kcal_kg,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_lys,1.20,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_met,0.34,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_mc,0.68,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_thr,0.77,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_trp,0.22,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_ile,0.66,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sid_val,0.81,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,ca,0.70,0.90,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,sttd_p,0.42,,pct,as_fed,NRC2012,hard,hard
nursery_p2,NRC2012_swine,na,0.20,0.50,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,ne_swine,2400,,kcal_kg,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_lys,1.00,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_met,0.28,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_mc,0.58,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_thr,0.65,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_trp,0.18,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_ile,0.55,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sid_val,0.68,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,ca,0.62,0.82,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,sttd_p,0.38,,pct,as_fed,NRC2012,hard,hard
gf_p1,NRC2012_swine,na,0.18,0.45,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,ne_swine,2400,,kcal_kg,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_lys,0.85,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_met,0.24,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_mc,0.50,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_thr,0.56,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_trp,0.15,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_ile,0.47,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sid_val,0.58,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,ca,0.57,0.77,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,sttd_p,0.35,,pct,as_fed,NRC2012,hard,hard
gf_p2,NRC2012_swine,na,0.16,0.45,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,ne_swine,2380,,kcal_kg,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_lys,0.72,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_met,0.20,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_mc,0.43,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_thr,0.48,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_trp,0.13,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_ile,0.40,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sid_val,0.49,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,ca,0.52,0.72,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,sttd_p,0.32,,pct,as_fed,NRC2012,hard,hard
gf_p3,NRC2012_swine,na,0.14,0.40,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,ne_swine,2380,,kcal_kg,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_lys,0.62,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_met,0.17,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_mc,0.37,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_thr,0.41,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_trp,0.11,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_ile,0.34,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sid_val,0.43,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,ca,0.48,0.68,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,sttd_p,0.29,,pct,as_fed,NRC2012,hard,hard
gf_p4,NRC2012_swine,na,0.12,0.40,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,ne_swine,2350,,kcal_kg,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sid_lys,0.68,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sid_met,0.19,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sid_mc,0.40,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sid_thr,0.45,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sid_trp,0.12,,pct,as_fed,NRC2012,hard,hard
gilt_dev,NRC2012_swine,sid_ile,0.37,,pct,as_fed,NRC2012,hard,hard
